dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-11-16,21,2,8Z,Пятновыводитель,Бытовая химия,2,186,5
2025-11-16,21,2,2T,Отбеливатель,Бытовая химия,1,89,0
2025-11-16,21,2,4W,Полотенце,Текстиль,2,208,10
2025-11-16,21,2,6A,Полотенце,Текстиль,1,251,10
2025-11-16,21,2,4W,Вода,Напитки,2,339,0
2025-11-16,21,2,4W,Мыло,Бытовая химия,1,217,0
2025-11-16,21,2,8E,Вода,Напитки,2,489,0
2025-11-16,21,2,8Z,Пятновыводитель,Бытовая химия,4,246,10
2025-11-16,21,2,3B,Мыло,Бытовая химия,2,193,5
2025-11-16,21,2,6A,Кукла,Детские товары,1,258,0
2025-11-16,21,2,8E,Масло,Бакалея,4,500,10
2025-11-16,21,2,6A,Полотенце,Текстиль,2,151,10
2025-11-16,21,2,8E,Подушка,Текстиль,1,370,5
2025-11-16,21,2,1J,Пятновыводитель,Бытовая химия,1,491,0
2025-11-16,21,2,8Z,Стиральный порошок,Бытовая химия,1,434,0
2025-11-16,21,2,8Z,Подушка,Текстиль,2,296,10
2025-11-16,21,2,1J,Одеяло,Текстиль,3,461,0
2025-11-16,21,2,6A,Пазлы,Детские товары,1,15,5
2025-11-16,21,2,9H,Крупы,Бакалея,1,70,0
2025-11-16,21,2,5G,Холодный чай,Напитки,1,319,5
2025-11-16,21,2,6K,Масло,Бакалея,1,342,10
2025-11-16,21,2,3L,Морс,Напитки,1,446,0
2025-11-16,21,2,1J,Крупы,Бакалея,1,270,5
2025-11-16,21,2,2T,Подушка,Текстиль,1,415,0
2025-11-16,21,2,9H,Морс,Напитки,1,158,0
